iter	Passed	Remaining
0	3	666
1	6	618
2	9	652
3	12	626
4	16	644
5	18	612
6	23	651
7	26	624
8	30	652
9	33	638
10	37	639
11	40	638
12	44	643
13	50	672
14	56	699
15	62	716
16	65	706
17	70	708
18	75	714
19	78	705
20	83	708
21	86	702
22	89	688
23	92	681
24	95	670
25	99	665
26	102	653
27	105	649
28	108	640
29	112	635
30	114	624
31	118	620
32	120	611
33	125	612
34	127	602
35	131	600
36	134	591
37	138	591
38	141	583
39	145	580
40	148	574
41	152	571
42	155	569
43	158	562
44	161	556
45	164	550
46	167	546
47	170	539
48	172	533
49	176	529
50	179	523
51	183	521
52	187	519
53	190	514
54	194	513
55	198	509
56	201	505
57	204	501
58	208	498
59	211	494
60	214	489
61	218	486
62	221	481
63	225	478
64	228	474
65	232	472
66	235	466
67	238	463
68	241	458
69	244	454
70	247	449
71	250	445
72	253	440
73	256	437
74	259	433
75	262	428
76	265	423
77	269	420
78	271	415
79	275	413
80	277	408
81	282	405
82	285	402
83	288	398
84	291	394
85	294	390
86	297	386
87	300	383
88	303	378
89	307	375
90	310	371
91	314	368
92	319	367
93	323	364
94	326	361
95	330	358
96	334	354
97	339	353
98	344	350
99	346	346
100	351	344
101	354	340
102	357	336
103	359	332
104	363	328
105	366	324
106	369	321
107	372	317
108	376	314
109	379	310
110	382	306
111	386	303
112	390	300
113	393	296
114	396	292
115	399	289
116	403	286
117	413	287
118	415	282
119	418	279
120	423	276
121	426	272
122	429	268
123	432	265
124	436	262
125	439	258
126	442	254
127	446	250
128	449	247
129	452	243
130	457	241
131	461	237
132	465	234
133	469	231
134	474	228
135	477	224
136	483	222
137	486	218
138	491	215
139	497	213
140	503	210
141	509	207
142	512	204
143	515	200
144	518	196
145	522	193
146	526	189
147	528	185
148	533	182
149	540	180
150	542	176
151	546	172
152	551	169
153	553	165
154	558	162
155	561	158
156	565	154
157	568	151
158	571	147
159	574	143
160	577	139
161	583	136
162	588	133
163	591	129
164	595	126
165	598	122
166	602	119
167	607	115
168	610	112
169	615	108
170	617	104
171	622	101
172	626	97
173	629	94
174	634	90
175	636	86
176	640	83
177	643	79
178	647	75
179	650	72
180	653	68
181	656	64
182	659	61
183	662	57
184	665	53
185	669	50
186	671	46
187	675	43
188	678	39
189	682	35
190	684	32
191	689	28
192	691	25
193	696	21
194	698	17
195	702	14
196	706	10
197	708	7
198	711	3
199	714	0
